x1	x3	x4	x5	x6	x7	x8	x9	x13	x15	x16	x17	x18	x19	x20	y1
40	3	1	3	2	1	0	0	120	21	20	0.6	220	2	0	1
54	5	0	0	0	1	4	0	180	22	28	0.8	380	2	0	1
29	2	4	1	2	0	1	0	110	16	14	0.5	110	4	0	1
20	2	4	1	2	0	1	0	110	16	14	0.5	110	4	0	1
67	2	3	1	2	1	0	1	140	21	24	0.5	160	4	0	1
33	5	0	1	1	2	0	1	140	21	20	0.6	200	2	0	1
46	3	2	1	2	2	0	0	120	21	20	0.6	200	2	0	1
25	6	1	0	0	1	1	1	120	19	18	0.5	160	2	0	1
20	4	2	0	1	2	0	1	110	17	16	0.6	170	3	0	1
41	3	2	0	2	0	3	0	210	21	32	0.5	220	2	1	1
90	5	0	0	2	0	3	0	140	22	28	0.7	290	2	0	1
36	4	0	0	1	0	4	1	160	22	28	0.8	360	2	0	1
35	4	0	0	1	0	5	0	180	24	36	0.8	380	2	1	1
40	3	0	0	1	1	5	0	180	25	40	0.7	360	2	1	1
75	3	0	0	2	2	3	0	130	20	24	0.9	350	2	1	1
70	3	0	0	2	1	4	0	180	22	30	0.8	360	2	0	1
99	5	0	0	1	0	4	0	190	23	40	0.7	340	2	1	1
30	3	0	0	2	0	5	0	170	24	40	0.7	340	2	1	1
18	2	0	0	2	0	4	2	170	22	32	0.7	320	2	0	1
98	4	0	0	1	1	4	0	160	20	28	0.6	240	2	0	1
54	3	0	0	0	3	4	0	110	19	22	0.8	290	2	1	1
53	2	0	0	1	4	3	0	140	21	26	0.8	340	2	1	1
58	3	0	0	1	0	5	1	170	25	40	0.7	360	2	0	1
70	3	0	0	2	0	4	1	170	25	40	0.7	410	2	1	1
88	6	0	0	1	0	3	0	170	22	32	0.8	360	2	1	1
81	3	0	0	2	2	3	0	170	24	36	0.7	340	2	1	1
64	2	0	0	2	2	4	0	170	24	40	0.7	340	2	1	1
85	3	0	0	3	0	4	0	150	21	28	0.8	340	2	1	1
30	7	0	1	1	0	1	0	110	19	18	0.6	170	2	0	1
61	7	1	1	0	0	1	0	140	20	20	0.6	200	2	0	1
110	4	0	1	1	4	0	0	120	19	18	0.6	200	2	0	1
45	5	0	2	0	2	0	1	130	19	18	0.6	190	2	0	1
50	8	1	0	0	0	1	0	140	21	24	0.6	200	2	0	1
40	3	2	0	2	0	3	0	210	22	36	0.5	210	2	1	1
16	2	3	1	2	1	0	1	140	21	24	0.5	160	4	0	1
